APP 100 PERCUSSION
"Advanced individual instruction in percussion performance at the undergraduate level. Undergraduate music students are limited to 4 credits of applied lessons in any given quarter, and may not exceed a total of 48 credits of applied lessons over their entire course of study."
RMP Overall,Class Status,Credit Hours,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
N/A,Open,2,Marc,Damoulakis,12:00 AM,12:00 AM,201,21759,Lincoln Park Campus,
N/A,Open,2,Marc,Damoulakis,12:00 AM,12:00 AM,202,21760,Lincoln Park Campus,
4.67,Open,2,Michael,Green,12:00 AM,12:00 AM,203,21761,Lincoln Park Campus,
4.67,Open,2,Michael,Green,12:00 AM,12:00 AM,204,21762,Lincoln Park Campus,
N/A,Open,2,Michael,Kozakis,12:00 AM,12:00 AM,205,21763,Lincoln Park Campus,
N/A,Open,2,Michael,Kozakis,12:00 AM,12:00 AM,206,21764,Lincoln Park Campus,
N/A,Open,2,Eric,Millstein,12:00 AM,12:00 AM,207,21765,Lincoln Park Campus,
N/A,Open,2,Eric,Millstein,12:00 AM,12:00 AM,208,21766,Lincoln Park Campus,
N/A,Open,2,Albert,Payson,12:00 AM,12:00 AM,209,22170,Lincoln Park Campus,
N/A,Open,2,Albert,Payson,12:00 AM,12:00 AM,210,22171,Lincoln Park Campus,
N/A,Open,2,David,Herbert,12:00 AM,12:00 AM,211,22172,Lincoln Park Campus,
N/A,Open,2,David,Herbert,12:00 AM,12:00 AM,212,22173,Lincoln Park Campus,
N/A,Open,2,Ian,Ding,12:00 AM,12:00 AM,213,22174,Lincoln Park Campus,
N/A,Open,2,Ian,Ding,12:00 AM,12:00 AM,214,22175,Lincoln Park Campus,
